,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
48204,NY,NEW YORK,SMALLPOX,0,0.0,1947,22
48205,OH,OHIO,SMALLPOX,0,0.0,1947,22
48206,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,22
48207,OR,OREGON,SMALLPOX,0,0.0,1947,22
48208,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,22
48209,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,22
48210,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,22
48211,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,22
48212,TN,TENNESSEE,SMALLPOX,0,0.0,1947,22
48213,TX,TEXAS,SMALLPOX,0,0.0,1947,22
48214,UT,UTAH,SMALLPOX,0,0.0,1947,22
48215,VA,VIRGINIA,SMALLPOX,0,0.0,1947,22
48216,VT,VERMONT,SMALLPOX,0,0.0,1947,22
