,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
360,CA,CALIFORNIA,RUBELLA,203,1.08,1966,12
361,CO,COLORADO,RUBELLA,35,1.74,1966,12
362,CT,CONNECTICUT,RUBELLA,87,3.0,1966,12
363,DE,DELAWARE,RUBELLA,2,0.39,1966,12
364,FL,FLORIDA,RUBELLA,116,1.9,1966,12
365,HI,HAWAII,RUBELLA,5,0.7,1966,12
366,IA,IOWA,RUBELLA,68,2.46,1966,12
367,ID,IDAHO,RUBELLA,11,1.6,1966,12
368,IL,ILLINOIS,RUBELLA,107,0.99,1966,12
369,IN,INDIANA,RUBELLA,89,1.78,1966,12
370,KY,KENTUCKY,RUBELLA,48,1.53,1966,12
371,MA,MASSACHUSETTS,RUBELLA,57,1.03,1966,12
372,MD,MARYLAND,RUBELLA,36,0.97,1966,12
373,ME,MAINE,RUBELLA,3,0.3,1966,12
374,MI,MICHIGAN,RUBELLA,124,1.46,1966,12
375,MO,MISSOURI,RUBELLA,2,0.04,1966,12
376,MT,MONTANA,RUBELLA,151,21.36,1966,12
377,ND,NORTH DAKOTA,RUBELLA,3,0.46,1966,12
378,NY,NEW YORK,RUBELLA,149,0.84,1966,12
379,OH,OHIO,RUBELLA,65,0.63,1966,12
380,OR,OREGON,RUBELLA,38,1.93,1966,12
381,PA,PENNSYLVANIA,RUBELLA,6,0.05,1966,12
382,RI,RHODE ISLAND,RUBELLA,4,0.44,1966,12
383,SC,SOUTH CAROLINA,RUBELLA,42,1.67,1966,12
384,TN,TENNESSEE,RUBELLA,77,2.01,1966,12
385,TX,TEXAS,RUBELLA,18,0.17,1966,12
386,UT,UTAH,RUBELLA,3,0.3,1966,12
387,VA,VIRGINIA,RUBELLA,98,2.2,1966,12
388,VT,VERMONT,RUBELLA,4,0.97,1966,12
389,WA,WASHINGTON,RUBELLA,105,3.43,1966,12
390,WI,WISCONSIN,RUBELLA,244,5.71,1966,12
391,WV,WEST VIRGINIA,RUBELLA,34,1.92,1966,12
392,AK,ALASKA,RUBELLA,5,1.85,1966,13
393,AL,ALABAMA,RUBELLA,5,0.14,1966,13
394,AZ,ARIZONA,RUBELLA,82,5.08,1966,13
395,CA,CALIFORNIA,RUBELLA,131,0.69,1966,13
396,CO,COLORADO,RUBELLA,15,0.75,1966,13
397,CT,CONNECTICUT,RUBELLA,107,3.69,1966,13
398,DE,DELAWARE,RUBELLA,3,0.58,1966,13
399,FL,FLORIDA,RUBELLA,60,0.98,1966,13
400,HI,HAWAII,RUBELLA,8,1.13,1966,13
401,IA,IOWA,RUBELLA,44,1.59,1966,13
402,ID,IDAHO,RUBELLA,16,2.32,1966,13
403,IL,ILLINOIS,RUBELLA,91,0.84,1966,13
404,IN,INDIANA,RUBELLA,74,1.48,1966,13
405,KY,KENTUCKY,RUBELLA,55,1.75,1966,13
406,MA,MASSACHUSETTS,RUBELLA,92,1.66,1966,13
407,MD,MARYLAND,RUBELLA,9,0.24,1966,13
408,ME,MAINE,RUBELLA,11,1.1,1966,13
409,MI,MICHIGAN,RUBELLA,84,0.99,1966,13
410,MN,MINNESOTA,RUBELLA,2,0.06,1966,13
411,MO,MISSOURI,RUBELLA,1,0.02,1966,13
412,ND,NORTH DAKOTA,RUBELLA,6,0.93,1966,13
413,NY,NEW YORK,RUBELLA,141,0.79,1966,13
414,OH,OHIO,RUBELLA,42,0.41,1966,13
415,OR,OREGON,RUBELLA,39,1.98,1966,13
416,PA,PENNSYLVANIA,RUBELLA,2,0.02,1966,13
417,RI,RHODE ISLAND,RUBELLA,10,1.11,1966,13
418,SC,SOUTH CAROLINA,RUBELLA,31,1.23,1966,13
419,TN,TENNESSEE,RUBELLA,79,2.07,1966,13
420,TX,TEXAS,RUBELLA,2,0.02,1966,13
421,UT,UTAH,RUBELLA,4,0.4,1966,13
422,VA,VIRGINIA,RUBELLA,35,0.79,1966,13
423,VT,VERMONT,RUBELLA,5,1.21,1966,13
